PID,DN,DP,TN,RL,app_id,parameters
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 16)","(app_id, com.waze)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 17)","(app_id, com.android.vending)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 18)","(app_id, com.google.android.apps.photos)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 19)","(app_id, com.tmobile.tuesdays)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 20)","(app_id, com.google.android.youtube)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 21)","(app_id, com.google.android.apps.maps)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 22)","(app_id, com.app.tgtg)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 23)","(app_id, com.beenverified.android)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 24)","(app_id, com.google.android.apps.tachyon)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 25)","(app_id, com.spotify.music)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 26)","(app_id, com.sec.android.daemonapp)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 27)","(app_id, com.samsung.sree)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 28)","(app_id, com.reddit.frontpage)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 29)","(app_id, com.samsung.android.game.gamehome)","(parameters, IAA=)"
