PID,DN,DP,TN,RL,id,url,icon_type
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 11)","(id, 18)","(url, https://en.m.wikipedia.org/static/apple-touch/wikipedia.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 12)","(id, 19)","(url, https://s.yimg.com/dh/ap/default/130909/y_200_a.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 13)","(id, 20)","(url, https://ir.ebaystatic.com/pictures/aw/pics/mobile/images/apple-touch-icon.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 14)","(id, 21)","(url, https://www.instagram.com/static/images/ico/favicon-192.png/b407fa101800.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 15)","(id, 22)","(url, https://www.amazon.com/favicon.ico)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 16)","(id, 23)","(url, https://cdn.shopify.com/s/files/1/0306/1642/0487/files/output-onlinepngtools_1_32x32.png?v=1620648213)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 17)","(id, 24)","(url, https://www.beenverified.com/favicon.ico)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 18)","(id, 25)","(url, https://direct-web.prod.slicelife.com/favicon.ico)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 19)","(id, 26)","(url, https://direct-web.prod.slicelife.com/apple-icon-144x144.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 20)","(id, 27)","(url, https://slicelife.com/sf2/static/images/favicons/apple-icon-180x180.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 21)","(id, 28)","(url, https://slicelife.com/sf2/static/images/favicons/android-icon-192x192.png)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 22)","(id, 29)","(url, https://www.digital4n6india.com/wp-content/uploads/2020/06/cropped-mentir-180x180.jpg)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 23)","(id, 30)","(url, https://www.digital4n6india.com/wp-content/uploads/2020/06/cropped-mentir-192x192.jpg)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 24)","(id, 31)","(url, https://images.contentstack.io/v3/assets/blt36c2e63521272fdc/blt3b9dbc8492637093/60a7f2761df7ea69b75ba460/cropped-SANS-Blue-Square-192x192.png)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 25)","(id, 32)","(url, https://images.contentstack.io/v3/assets/blt36c2e63521272fdc/bltb065db290a92f932/60a7f27dc8faf774ab45ffd9/cropped-SANS-Blue-Square-180x180.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 26)","(id, 33)","(url, https://co1.qualtrics.com/WRQualtricsShared/Graphics/qipadicon.png)","(icon_type, 4)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 27)","(id, 34)","(url, https://survey.sans.org/WRQualtricsShared/Brands/sans/favicon.ico)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 28)","(id, 35)","(url, https://thebinaryhick.blog/favicon.ico)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 29)","(id, 36)","(url, https://di-uploads-pod21.dealerinspire.com/southernnorfolkairportdodgechryslerjeepram/uploads/2020/08/CDJR.png)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 30)","(id, 37)","(url, https://di-uploads-pod21.dealerinspire.com/southernnorfolkairportdodgechryslerjeepram/uploads/2020/08/CDJR.png)","(icon_type, 4)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 31)","(id, 38)","(url, https://www.carfax.com/favicon.ico)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 32)","(id, 39)","(url, https://www.google.com/favicon.ico)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 33)","(id, 40)","(url, https://static.xx.fbcdn.net/rsrc.php/v3/yj/r/gB76kJXPYJV.png)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 34)","(id, 41)","(url, https://www.walmart.com/favicon.ico)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 35)","(id, 42)","(url, https://www.totalcardiagnostics.com/favicon.ico)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 36)","(id, 43)","(url, https://www.edmunds.com/favicon.ico)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 37)","(id, 44)","(url, https://d2guulkeunn7d8.cloudfront.net/assets/instacart_favicon_48x48-4d2540a191e0855aae5f29e893b21223.png)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 38)","(id, 45)","(url, https://partners.thepennyhoarder.com/wp-content/uploads/2020/02/cropped-favicon-1-180x180.png)","(icon_type, 4)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 39)","(id, 46)","(url, https://partners.thepennyhoarder.com/wp-content/uploads/2020/02/cropped-favicon-1-192x192.png)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 40)","(id, 47)","(url, https://cdn.shopify.com/s/files/1/0276/1621/5176/files/wc-ico_96x.png?v=1599753005)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 41)","(id, 48)","(url, https://i3.ypcdn.com/ypu/apps/ypm-core/ypm/images/icon/favicon.ico?v=aadc01b)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 42)","(id, 49)","(url, https://i1.ypcdn.com/ypu/apps/ypm-core/ypm/images/icon/apple-touch-icon-precomposed.png?v=aadc01b)","(icon_type, 4)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 43)","(id, 50)","(url, https://cdn.shopify.com/s/files/1/0287/8390/2817/files/bb-favicon_96x.png?v=1612892203)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 44)","(id, 51)","(url, https://www.modernliquors.com/uploads/b/74c8e350-75b0-11ea-960c-55f0e5ddde62/1df66c83e83e7c02129a1608bf0f6710.jpg)","(icon_type, 1)"
