UID,AN,PID,DN,DP,TN,RL,name,displayName,prevalence
"(UID, 7831e185a43d40a)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 425)","(name, Ividence)","(displayName, Ividence)","(prevalence, 0.0342)"
"(UID, b94736175b58d15)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 426)","(name, Jivox Corp)","(displayName, Jivox)","(prevalence, 0.142)"
"(UID, 26e2b294ef60330)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 427)","(name, OpenJS Foundation)","(displayName, OpenJS Foundation)","(prevalence, 5.29)"
"(UID, 94bcd8bfe805d3f)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 428)","(name, Prospect One)","(displayName, Prospect One)","(prevalence, 6.54)"
"(UID, cd1b99a511131e1)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 429)","(name, Universo Online S.A.)","(displayName, Universo Online)","(prevalence, 0.0268)"
"(UID, ed98968928dc045)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 430)","(name, Logly, Inc.)","(displayName, Logly)","(prevalence, 0.0945)"
"(UID, 7b51c34de5cf9e0)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 431)","(name, JuicyAds)","(displayName, JuicyAds)","(prevalence, 0.359)"
"(UID, 13c0dfcee9bcaac)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 432)","(name, JustAnswer LLC)","(displayName, JustAnswer)","(prevalence, 0.0425)"
"(UID, 588026d273ff96f)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 433)","(name, JustPremium)","(displayName, JustPremium)","(prevalence, 0.548)"
"(UID, fd5fdc8e5de19ed)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 434)","(name, LongTail Ad Solutions, Inc.)","(displayName, LongTail Ad Solutions)","(prevalence, 0.883)"
"(UID, 39888a65eefa1c6)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 435)","(name, Kakaku.com, Inc.)","(displayName, Kakaku.com)","(prevalence, 0.0363)"
"(UID, 88d852e23635277)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 436)","(name, Kaizen Platform, Inc.)","(displayName, Kaizen Platform)","(prevalence, 0.0123)"
"(UID, 3ade1da0ad31a82)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 437)","(name, Kaltura Inc)","(displayName, Kaltura)","(prevalence, 0.0453)"
"(UID, 4c0c85b706526ae)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 438)","(name, Kameleoon)","(displayName, Kameleoon)","(prevalence, 0.108)"
"(UID, f43441970197a7a)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 439)","(name, Medallia Inc.)","(displayName, Medallia)","(prevalence, 0.37)"
"(UID, 9e0032478e921b9)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 440)","(name, Kargo Global, Inc.)","(displayName, Kargo)","(prevalence, 0.894)"
"(UID, 78b40677e2c9421)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 441)","(name, Plaid Inc)","(displayName, Plaid)","(prevalence, 0.0501)"
"(UID, 82bd2766432a7c0)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 442)","(name, Keywee)","(displayName, Keywee)","(prevalence, 0.157)"
"(UID, 6d65042660ffc3e)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 443)","(name, Space Pencil, Inc.)","(displayName, Space Pencil)","(prevalence, 0.0473)"
"(UID, a18660e659cfb4e)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 444)","(name, Klarna Bank AB)","(displayName, Klarna Bank)","(prevalence, 0.221)"
"(UID, 2769d334f5f00db)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 445)","(name, Klaviyo)","(displayName, Klaviyo)","(prevalence, 1.2)"
"(UID, bf999e23c9103a2)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 446)","(name, KAPANLAGI NETWORK)","(displayName, KAPANLAGI NETWORK)","(prevalence, 0.0165)"
"(UID, 52c37a17ff8a83a)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 447)","(name, Kochava)","(displayName, Kochava)","(prevalence, 0.0198)"
"(UID, 11506e24efae149)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 448)","(name, Kustomer, Inc.)","(displayName, Kustomer)","(prevalence, 0.0597)"
"(UID, 29adaa5e250bd02)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 449)","(name, proinity GmbH)","(displayName, proinity)","(prevalence, 0.515)"
"(UID, ba23ab0080b4dc5)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 450)","(name, Quality Unit LLC)","(displayName, Quality Unit)","(prevalence, 0.0418)"
"(UID, 69d461a572ba02f)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 451)","(name, So-net Media Networks Corporation.)","(displayName, So-net Media Networks)","(prevalence, 0.365)"
"(UID, 9c4cf33c5020e83)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 452)","(name, WebpageFX)","(displayName, WebpageFX)","(prevalence, 0.0199)"
"(UID, ec72707942ca622)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 453)","(name, REEPERF)","(displayName, REEPERF)","(prevalence, 0.0014)"
"(UID, b54d2faccd3eb03)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 454)","(name, Sargents, Inc.)","(displayName, Sargents)","(prevalence, 0.0575)"
"(UID, 35fa891e8653b0e)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 455)","(name, LENDINGTREE, LLC)","(displayName, LendingTree)","(prevalence, 0.0802)"
"(UID, 040e970981c384c)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 456)","(name, LiveIntent Inc.)","(displayName, LiveIntent)","(prevalence, 5.87)"
"(UID, c8f3df87fbda4e3)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 457)","(name, Digioh, LLC)","(displayName, Digioh)","(prevalence, 0.339)"
"(UID, e784a61bc15052c)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 458)","(name, Sovrn Holdings)","(displayName, Sovrn Holdings)","(prevalence, 8.65)"
"(UID, 94f0248128ccb5a)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 459)","(name, Naver Corporation)","(displayName, Naver)","(prevalence, 0.296)"
"(UID, 524d413f317bc24)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 460)","(name, LinkConnector Corporation)","(displayName, LinkConnector)","(prevalence, 0.0603)"
"(UID, 314715fc972aa0f)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 461)","(name, Rakuten, Inc.)","(displayName, Rakuten)","(prevalence, 0.78)"
"(UID, 8232464fb22e04e)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 462)","(name, Shopify Inc.)","(displayName, Shopify)","(prevalence, 1.35)"
"(UID, 6197c574af6bd7e)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 463)","(name, Listhub)","(displayName, Listhub)","(prevalence, 0.013)"
"(UID, 22b313f22812e1e)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 464)","(name, Listrak)","(displayName, Listrak)","(prevalence, 0.418)"
"(UID, 5ddcdef23590f5d)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 465)","(name, Lithium Technologies)","(displayName, Lithium)","(prevalence, 0.0206)"
"(UID, 36370079aef03ef)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 466)","(name, Mux, Inc.)","(displayName, Mux)","(prevalence, 0.0384)"
"(UID, cc2484435119635)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 467)","(name, Pantheon Systems, Inc.)","(displayName, Pantheon Systems)","(prevalence, 0.0322)"
"(UID, d882ace3f3bfda2)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 468)","(name, LiveChat Inc)","(displayName, LiveChat)","(prevalence, 0.499)"
"(UID, dca69a28c97ce29)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 469)","(name, LiveHelpNow, Inc)","(displayName, LiveHelpNow)","(prevalence, 0.0569)"
"(UID, a60836751edb482)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 470)","(name, Rambler Internet Holding, LLC)","(displayName, Rambler Internet Holding)","(prevalence, 0.238)"
"(UID, a42756ea75e51dd)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 471)","(name, LivePerson, Inc)","(displayName, LivePerson)","(prevalence, 0.469)"
"(UID, 2abb2318fdf592a)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 472)","(name, Nexstar Media Group)","(displayName, Nexstar Media Group)","(prevalence, 0.426)"
"(UID, f28469b3520d51e)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 473)","(name, Limelight Networks, Inc.)","(displayName, Limelight Networks)","(prevalence, 0.18)"
"(UID, 0df1b324927ced2)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 474)","(name, Upland Software Inc.)","(displayName, Upland Software)","(prevalence, 0.037)"
"(UID, 06298980189fc4b)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 475)","(name, LockerDome, LLC)","(displayName, LockerDome)","(prevalence, 0.209)"
"(UID, 03f2211611bb9ab)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 476)","(name, SolarWinds Worldwide, LLC)","(displayName, SolarWinds Worldwide)","(prevalence, 0.0911)"
"(UID, 7ccad117c8e1802)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 477)","(name, Loop11)","(displayName, Loop11)","(prevalence, 0.0185)"
"(UID, ab37ade82c67626)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 478)","(name, Loop Commerce)","(displayName, Loop Commerce)","(prevalence, 0.0123)"
"(UID, 56bc185e200026e)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 479)","(name, LoopMe Ltd)","(displayName, LoopMe)","(prevalence, 2.96)"
