UID,AN,PID,DN,DP,TN,RL,update_id,permission
"(UID, 596912e56126cc5)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 153)","(update_id, 66)","(permission, android.permission.GET_ACCOUNTS)"
"(UID, af4da23ab28997e)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 154)","(update_id, 66)","(permission, android.permission.READ_SYNC_SETTINGS)"
"(UID, f0f6de685db1cbd)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 155)","(update_id, 66)","(permission, android.permission.ACCESS_MEDIA_LOCATION)"
"(UID, d2c7d4ba7e8b939)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 156)","(update_id, 66)","(permission, android.permission.CALL_PHONE)"
"(UID, ca8c82eb86b64e4)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 157)","(update_id, 66)","(permission, com.sonyericsson.home.permission.BROADCAST_BADGE)"
"(UID, ef11176db1e4274)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 158)","(update_id, 66)","(permission, com.htc.launcher.permission.READ_SETTINGS)"
"(UID, 77a0c302680ddb2)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 159)","(update_id, 66)","(permission, android.permission.AUTHENTICATE_ACCOUNTS)"
"(UID, d61333f2f9e7393)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 160)","(update_id, 66)","(permission, android.permission.FOREGROUND_SERVICE)"
"(UID, 8e9a3ee05d5e2ae)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 161)","(update_id, 66)","(permission, android.permission.BLUETOOTH_ADMIN)"
"(UID, 2bc96518f9fbb2c)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 162)","(update_id, 66)","(permission, android.permission.SYSTEM_ALERT_WINDOW)"
"(UID, 767f840d937d949)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 163)","(update_id, 66)","(permission, com.amazon.device.messaging.permission.RECEIVE)"
"(UID, bfffeac05164cb5)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 164)","(update_id, 66)","(permission, android.permission.READ_PROFILE)"
"(UID, 4930a8a671ee653)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 165)","(update_id, 66)","(permission, android.permission.NFC)"
"(UID, ebde5e4a80c95e0)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 166)","(update_id, 66)","(permission, android.permission.RECEIVE_BOOT_COMPLETED)"
"(UID, 446aa8d1a03e5db)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 167)","(update_id, 66)","(permission, android.permission.WRITE_EXTERNAL_STORAGE)"
"(UID, 27fa9adfdfc5e1a)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 168)","(update_id, 66)","(permission, android.permission.BLUETOOTH_ADVERTISE)"
"(UID, cc73639d6b80f16)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 169)","(update_id, 66)","(permission, android.permission.ACCESS_FINE_LOCATION)"
"(UID, 41da0294406e644)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 170)","(update_id, 66)","(permission, com.facebook.pages.app.provider.ACCESS)"
"(UID, c03ba36d772f4fb)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 171)","(update_id, 66)","(permission, com.sec.android.provider.badge.permission.READ)"
"(UID, 33504ffce788347)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 172)","(update_id, 66)","(permission, android.permission.ACCESS_NETWORK_STATE)"
"(UID, 16a022af625b3c6)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 173)","(update_id, 66)","(permission, android.permission.USE_FINGERPRINT)"
"(UID, 1cde5de7f888c18)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 174)","(update_id, 66)","(permission, android.permission.WRITE_CONTACTS)"
"(UID, bb6039216ae5d9b)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 175)","(update_id, 66)","(permission, android.permission.BATTERY_STATS)"
"(UID, 026b69fab24fc68)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 176)","(update_id, 66)","(permission, com.android.launcher.permission.INSTALL_SHORTCUT)"
"(UID, d757c6a10998f7c)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 177)","(update_id, 66)","(permission, com.google.android.providers.gsf.permission.READ_GSERVICES)"
"(UID, 180f42642637dfe)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 178)","(update_id, 66)","(permission, android.permission.READ_MEDIA_VIDEO)"
"(UID, ab969da8ae10059)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 179)","(update_id, 66)","(permission, android.permission.READ_MEDIA_IMAGES)"
"(UID, 67db4bb06a24645)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 180)","(update_id, 66)","(permission, android.permission.VIBRATE)"
"(UID, b2ccb342028a96b)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 181)","(update_id, 66)","(permission, com.facebook.katana.permission.CROSS_PROCESS_BROADCAST_MANAGER)"
"(UID, ac58aac5bcbd1cb)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 182)","(update_id, 66)","(permission, com.facebook.katana.permission.CREATE_SHORTCUT)"
"(UID, f7a2e141c7e5447)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 183)","(update_id, 66)","(permission, android.permission.WRITE_SYNC_SETTINGS)"
"(UID, 24e8200e223c150)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 184)","(update_id, 66)","(permission, com.htc.launcher.permission.UPDATE_SHORTCUT)"
"(UID, fe436271c697a1a)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 185)","(update_id, 66)","(permission, android.permission.USE_BIOMETRIC)"
"(UID, 525c2c73c6cb936)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 186)","(update_id, 66)","(permission, com.facebook.receiver.permission.ACCESS)"
"(UID, eaf1002b73e68ee)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 187)","(update_id, 66)","(permission, android.permission.CHANGE_NETWORK_STATE)"
"(UID, edf908d660935e2)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 188)","(update_id, 66)","(permission, android.permission.CAMERA)"
"(UID, aa729658f2ddd44)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 189)","(update_id, 66)","(permission, android.permission.MODIFY_AUDIO_SETTINGS)"
"(UID, a898f64c758492c)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 190)","(update_id, 66)","(permission, android.permission.READ_EXTERNAL_STORAGE)"
"(UID, 4f3d6d8cc06847e)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 191)","(update_id, 66)","(permission, android.permission.BLUETOOTH)"
"(UID, fb458f86660f2eb)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 192)","(update_id, 66)","(permission, android.permission.READ_PHONE_STATE)"
"(UID, 4f897bc1433cbe8)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 193)","(update_id, 67)","(permission, android.permission.READ_PHONE_NUMBERS)"
"(UID, 5d44955f936ceb2)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 194)","(update_id, 67)","(permission, android.permission.ACCESS_COARSE_LOCATION)"
"(UID, 7b4d93eabfd4ab3)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 195)","(update_id, 67)","(permission, com.instagram.direct.permission.PROTECTED_DEEPLINKING)"
"(UID, 280f9a2a7909d68)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 196)","(update_id, 67)","(permission, android.permission.WAKE_LOCK)"
"(UID, 84baeb8a2a2c91e)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 197)","(update_id, 67)","(permission, android.permission.ACCESS_WIFI_STATE)"
"(UID, 1d31bb1fc2c36dc)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 198)","(update_id, 67)","(permission, com.google.android.c2dm.permission.RECEIVE)"
"(UID, f136e78a503ff81)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 199)","(update_id, 67)","(permission, android.permission.READ_MEDIA_AUDIO)"
"(UID, 9b5af2c91caeb6e)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 200)","(update_id, 67)","(permission, android.permission.BLUETOOTH_SCAN)"
"(UID, b33c27aa17cd119)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 201)","(update_id, 67)","(permission, android.permission.ACCESS_BACKGROUND_LOCATION)"
"(UID, e1283828a4e22d8)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 202)","(update_id, 67)","(permission, com.android.vending.BILLING)"
"(UID, 4a7204d2527a0af)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 203)","(update_id, 67)","(permission, android.permission.RECORD_AUDIO)"
"(UID, c43a8d31f6351cb)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 204)","(update_id, 67)","(permission, com.instagram.direct.permission.DIRECT_APP_THREAD_STORE_SERVICE)"
"(UID, 84ac21caadcda2a)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 205)","(update_id, 67)","(permission, android.permission.CHANGE_WIFI_STATE)"
"(UID, 5b06a80b52ab181)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 206)","(update_id, 67)","(permission, android.permission.INTERNET)"
"(UID, 3147abc8708a5ea)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 207)","(update_id, 67)","(permission, android.permission.USE_FULL_SCREEN_INTENT)"
"(UID, 5f0fc9c54c3c0af)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 208)","(update_id, 67)","(permission, android.permission.BLUETOOTH_CONNECT)"
"(UID, 6719b0ee717eaec)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 209)","(update_id, 67)","(permission, android.permission.READ_CONTACTS)"
"(UID, fad7765506544cf)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 210)","(update_id, 67)","(permission, android.permission.GET_ACCOUNTS)"
"(UID, fa8b02572882f4f)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 211)","(update_id, 67)","(permission, android.permission.ACCESS_MEDIA_LOCATION)"
"(UID, 6799706f6ef76fa)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 212)","(update_id, 67)","(permission, android.permission.CALL_PHONE)"
"(UID, 5b56f5136d400b5)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 213)","(update_id, 67)","(permission, com.sonyericsson.home.permission.BROADCAST_BADGE)"
"(UID, 2cc626503948ae4)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 214)","(update_id, 67)","(permission, com.htc.launcher.permission.READ_SETTINGS)"
"(UID, cfbe011f6513a29)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 215)","(update_id, 67)","(permission, android.permission.FOREGROUND_SERVICE)"
"(UID, 24d07fdc8c1f3ed)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 216)","(update_id, 67)","(permission, android.permission.BLUETOOTH_ADMIN)"
"(UID, f35dbb954a15b08)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 217)","(update_id, 67)","(permission, com.amazon.device.messaging.permission.RECEIVE)"
"(UID, a72b631af051c38)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 218)","(update_id, 67)","(permission, android.permission.READ_PROFILE)"
"(UID, 636d2da50652ec7)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 219)","(update_id, 67)","(permission, android.permission.RECEIVE_BOOT_COMPLETED)"
"(UID, 3904659ed97a742)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 220)","(update_id, 67)","(permission, android.permission.WRITE_EXTERNAL_STORAGE)"
