UID,AN,PID,DN,DP,TN,RL,stickerId,packId,cacheKey,stickerType,capFriends,capGeo,targetPreview,targetChat,targetOdg,animated,priority,expandable,sponsored,displayCount,stickerPackTitle,boltMediaToken,rank,targetStickerQuickReply,miniAppId,miniShareInfo,capabilities
"(UID, d2e50c0b8049d0f)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1179)","(stickerId, hometab_megapack_food_drinks~pretzel_cute777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/n3elhsNaSPDDgrTzI5AHX?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMmd5usFSAJQB2AB&uc=7)","(rank, 115000)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 122483be5234f56)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1180)","(stickerId, hometab_megapack_food_drinks~sausage777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/V7dKdPKfVf6ubkPOcLGh6?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMyd5usFSAJQB2AB&uc=7)","(rank, 73000)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, a0543ad2e741518)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1181)","(stickerId, hometab_megapack_food_drinks~icedtea_01777.webp)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 1)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/274gONZ0yiKI7bIeXMTK6?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMCd5usFSAJQB2AB&uc=7)","(rank, 103500)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 30f009b70dcab3b)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1182)","(stickerId, hometab_megapack_food_drinks~rice_bowl.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 0)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/yZm6Mk5Zo6REOou5pKtgt?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMqjhewFSAJQB2AB&uc=7)","(rank, 5625)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, ac3ea3c6df77337)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1183)","(stickerId, hometab_megapack_food_drinks~pizza_2777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/Aj3eNlFNsnMOUrrV2R0RC?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMed5usFSAJQB2AB&uc=7)","(rank, 76500)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, daf45b96ac67ba2)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1184)","(stickerId, hometab_megapack_food_drinks~beer_5_.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 0)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/1tYwkfOdVbOMhBbLvXRJx?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCJC4hewFSAJQB2AB&uc=7)","(rank, 158000)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 3cad31f519e6a3c)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1185)","(stickerId, hometab_megapack_food_drinks~noodles777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/gICI9TOB3aNtRWBOxlFUI?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMOd5usFSAJQB2AB&uc=7)","(rank, 53000)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, fd679dff8c32fab)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1186)","(stickerId, hometab_megapack_food_drinks~animated_boba777.webp)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 1)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/FuwRaXtJ4tINsO8zfQrij?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCK2d5usFSAJQB2AB&uc=7)","(rank, 4000)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, e9733181a36d50c)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1187)","(stickerId, hometab_megapack_food_drinks~apple777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/ERqeMba8pIUvmBoucsw2z?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCLGd5usFSAJQB2AB&uc=7)","(rank, 39750)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 4a9ab28ef5d713a)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1188)","(stickerId, hometab_megapack_food_drinks~777024.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/etxvw0NNrRuMoC57N9hkf?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCKqd5usFSAJQB2AB&uc=7)","(rank, 107000)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 92b3d78519d2d72)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1189)","(stickerId, hometab_megapack_food_drinks~beer_clink777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/Ti17jo6vlCcZDCRJcIrku?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCLOd5usFSAJQB2AB&uc=7)","(rank, 3750)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 23d4ccd8cf4e152)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1190)","(stickerId, hometab_megapack_food_drinks~soba_noodle.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 0)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/ZGfsTH2Fp5jhNE2Htiaxj?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMyjhewFSAJQB2AB&uc=7)","(rank, 112500)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 17c43162ed55fdf)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1191)","(stickerId, hometab_megapack_food_drinks~dumpling777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/nZgpGUTl8RSP2MxPkPyk2?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCL2d5usFSAJQB2AB&uc=7)","(rank, 16750)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 295d333a3e90b8d)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1192)","(stickerId, hometab_megapack_food_drinks~taco_time777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/efvxiWhB5CdtTrn6UP6Rq?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCNCd5usFSAJQB2AB&uc=7)","(rank, 6500)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 187353605457d83)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1193)","(stickerId, hometab_megapack_food_drinks~watermelon_summer.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 0)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/o2NxsNJzD8jW9FoQkPoip?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCM6jhewFSAJQB2AB&uc=7)","(rank, 6188)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 2d92612adf271ff)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1194)","(stickerId, hometab_megapack_food_drinks~ketchup_mustard.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 0)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/vFM8qgs8ZgT5QKawRT04I?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMKjhewFSAJQB2AB&uc=7)","(rank, 113500)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, bb07aafdf561997)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1195)","(stickerId, hometab_megapack_food_drinks~ramen_udon.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 0)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/U3enK4cJ40CUlscFLzpac?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMejhewFSAJQB2AB&uc=7)","(rank, 85500)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, afd58cc7920a91e)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1196)","(stickerId, hometab_megapack_food_drinks~takoyaki.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 0)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/uCEvGMIJLuqLEISJKNwL7?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCM2jhewFSAJQB2AB&uc=7)","(rank, 103750)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
