PID,DN,DP,TN,RL,app_id,consent_state
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 19)","(app_id, com.samsung.android.app.spage)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 20)","(app_id, com.orto.usa)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 21)","(app_id, app.cartomizer)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 22)","(app_id, com.google.android.googlequicksearchbox)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 23)","(app_id, com.venmo)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 24)","(app_id, com.samsung.android.kgclient)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 25)","(app_id, com.napko.RealDash)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 26)","(app_id, com.waze)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 27)","(app_id, com.cargurus.mobileApp)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 28)","(app_id, com.android.vending)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 29)","(app_id, com.google.android.apps.photos)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 30)","(app_id, com.twitter.android)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 31)","(app_id, com.tmobile.tuesdays)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 32)","(app_id, app.greyshirts.sslcapture)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 33)","(app_id, com.netflix.mediaclient)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 34)","(app_id, com.samsung.android.themestore)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 35)","(app_id, com.reddit.frontpage)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 36)","(app_id, com.wssyncmldm)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 37)","(app_id, com.zhiliaoapp.musically)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 38)","(app_id, com.google.android.apps.maps)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 39)","(app_id, com.google.android.apps.tachyon)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 40)","(app_id, com.spotify.music)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 41)","(app_id, com.osp.app.signin)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 42)","(app_id, com.app.tgtg)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 43)","(app_id, com.google.android.youtube)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 44)","(app_id, com.sec.android.daemonapp)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 45)","(app_id, com.beenverified.android)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 46)","(app_id, com.samsung.android.app.omcagent)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 47)","(app_id, com.microsoft.skydrive)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 48)","(app_id, com.upside.consumer.android)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 49)","(app_id, com.samsung.android.game.gamehome)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 50)","(app_id, com.samsung.android.mateagent)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 51)","(app_id, com.samsung.sree)","(consent_state, G1--)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, consent_settings)","(RL, 52)","(app_id, com.samsung.android.rubin.app)","(consent_state, G1--)"
